ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220280_s_at	0.984	0.9139691	-0.1088801	-5.2081	-0.06285321	ANKMY1	ankyrin repeat and MYND domain containing 1
202695_s_at	0.937	0.7392043	0.3357761	-5.2081	0.21161542	STK17A	serine/threonine kinase 17a
216208_s_at	1	0.9975389	0.0031084	-5.2081	0.00166286	ATF6B	activating transcription factor 6 beta
207795_s_at	0.967	0.8539533	-0.1855514	-5.2082	-0.11508592	KLRD1	killer cell lectin like receptor D1
215802_at	0.944	0.7648287	0.3016736	-5.2082	0.18031603		
222217_s_at	0.943	0.7604054	0.3075335	-5.2082	0.16280586	SLC27A3	solute carrier family 27 member 3
219537_x_at	0.992	0.9499356	-0.0632758	-5.2082	-0.03544378	DLL3	delta like canonical Notch ligand 3
216766_at	0.988	0.9282486	0.0907517	-5.2082	0.05811189		
201108_s_at	0.993	0.9552981	0.0564904	-5.2083	0.03756428	THBS1	thrombospondin 1
221336_at	0.997	0.987291	-0.0160524	-5.2083	-0.00910074	ATOH1	atonal bHLH transcription factor 1
216349_at	0.967	0.8550682	0.1841182	-5.2084	0.12006392	DGKH	diacylglycerol kinase eta
207083_s_at	0.986	0.9223973	0.0981761	-5.2084	0.06444239	CC2D1A	coiled-coil and C2 domain containing 1A
214804_at	0.975	0.8866188	-0.1437109	-5.2084	-0.10064645	CENPI	centromere protein I
214265_at	0.917	0.6719618	-0.4273351	-5.2084	-0.27554219	ITGA8	integrin subunit alpha 8
216507_at	0.958	0.8221132	0.2266585	-5.2084	0.12726116	TAPT1	transmembrane anterior posterior transformation 1
219285_s_at	0.972	0.873267	0.1607773	-5.2085	0.08503978	NIN	ninein
218500_at	0.927	0.7129442	-0.3711464	-5.2085	-0.24599155	THEM6	thioesterase superfamily member 6
202805_s_at	0.991	0.9444428	0.0702293	-5.2085	0.04319616	ABCC1	ATP binding cassette subfamily C member 1
206442_at	0.986	0.9190821	-0.102385	-5.2086	-0.08237556	SEMG1	semenogelin I
220200_s_at	0.955	0.8099605	0.2424489	-5.2086	0.14425594	KMT5A	lysine methyltransferase 5A
