ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
D26069_PROBE1	1.27e-09	1.40e-11	10.6330455	16.493652	2.06467328	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
NM_014888.1_PROBE1	1.27e-09	1.41e-11	10.6302181	16.493166	1.73623538	FAM3C	family with sequence similarity 3 member C
NM_024054.1_PROBE1	1.28e-09	1.43e-11	10.6222389	16.466554	1.39148926	C7orf25	chromosome 7 open reading frame 25
NM_033060.2_PROBE1	1.32e-09	1.49e-11	-10.6053016	16.438311	-2.01531332	KRTAP4-1	keratin associated protein 4-1
AB020631_PROBE1	1.33e-09	1.50e-11	10.5998265	16.419003	1.32941919	PCF11	PCF11 cleavage and polyadenylation factor subunit
NM_005038.1_PROBE1	1.35e-09	1.53e-11	10.5911122	16.408255	2.26888555	PPID	peptidylprolyl isomerase D
233107.6_PROBE1	1.35e-09	1.54e-11	10.5879154	16.400295	1.92222073	DOCK11	dedicator of cytokinesis 11
1383842.1_PROBE1	1.29e-09	1.45e-11	10.6177056	16.39707	2.33124022	CDC73	cell division cycle 73
NM_022894.2_PROBE1	1.37e-09	1.58e-11	10.5778677	16.377867	1.33683736	PAPOLG	poly(A) polymerase gamma
1501914.1_PROBE1	1.37e-09	1.59e-11	10.5755451	16.365954	2.1018664	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
244809.2_PROBE1	1.37e-09	1.60e-11	10.5725335	16.364519	2.23118914		
D86550_PROBE1	1.37e-09	1.61e-11	10.5694267	16.358408	1.65013045	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
407509.2_PROBE1	1.37e-09	1.61e-11	10.5693375	16.357658	1.85718037		
NM_017426.1_PROBE1	1.37e-09	1.61e-11	10.5695178	16.352834	1.70250138	NUP54	nucleoporin 54
AL353950_PROBE1	1.38e-09	1.63e-11	10.5622873	16.337692	1.66694766	PPP3CA	protein phosphatase 3 catalytic subunit alpha
NM_000213.1_PROBE2	1.39e-09	1.65e-11	-10.5568041	16.328431	-1.12996648	ITGB4	integrin subunit beta 4
NM_004663.1_PROBE1	1.39e-09	1.65e-11	10.5575128	16.326265	1.83702453	RAB11A	RAB11A, member RAS oncogene family
AF195514_PROBE1	1.45e-09	1.74e-11	10.5341343	16.278332	1.840079	VPS4B	vacuolar protein sorting 4 homolog B
NM_015387.1_PROBE1	1.48e-09	1.79e-11	10.5224376	16.257547	2.04275067	MOB4	MOB family member 4, phocein
409659.15_PROBE1	1.52e-09	1.84e-11	10.5087735	16.220325	2.39560601	SLC35B3	solute carrier family 35 member B3
NM_017927.1_PROBE1	1.55e-09	1.89e-11	10.4974567	16.200044	1.81381491	MFN1	mitofusin 1
7473179CB1_PROBE1	1.61e-09	1.98e-11	10.4763003	16.156029	1.82700728	POC1B	POC1 centriolar protein B
NM_016631.1_PROBE1	1.61e-09	1.99e-11	10.4742653	16.151804	2.58686281	PAXBP1	PAX3 and PAX7 binding protein 1
AB046777_PROBE1	1.61e-09	1.98e-11	10.476897	16.14766	1.29868927	ARID2	AT-rich interaction domain 2
NM_022826.1_PROBE1	1.61e-09	2.00e-11	10.4718698	16.141044	2.14630626	MARCH7	membrane associated ring-CH-type finger 7
AA772097_PROBE1	1.66e-09	2.09e-11	10.4525791	16.105367	1.99591324	ANP32E	acidic nuclear phosphoprotein 32 family member E
NM_014160.2_PROBE1	1.66e-09	2.07e-11	10.4564513	16.101995	1.46543147	MKRN2	makorin ring finger protein 2
AK022888_PROBE1	1.66e-09	2.08e-11	10.4540292	16.098201	1.89304877	WDFY1	WD repeat and FYVE domain containing 1
348895.15_PROBE1	1.72e-09	2.18e-11	10.4337819	16.063983	2.12432388	ZFAND1	zinc finger AN1-type containing 1
